ENZYME,ENZY_ACC_ID,GENE,KIN_ORGANISM,SUBSTRATE,SUB_GENE_ID,SUB_ACC_ID,SUB_GENE,SUB_ORGANISM,SUB_MOD_RSD,SITE_GRP_ID,SITE_...7_AA,networkin_score,Source
ITCH,Q8C863,Itch,mouse,FOXO1,,Q9R1E0,Foxo1,mouse,,,,,
ITCH,Q8C863,Itch,mouse,RORG,,P51450,Rorc,mouse,,,,,
ITCH,Q8C863,Itch,mouse,SIR6,,P59941,Sirt6,mouse,,,,,
ITCH,Q8C863,Itch,mouse,ITCH,,Q8C863,Itch,mouse,,,,,
ITCH,Q8C863,Itch,mouse,BCL10,,Q9Z0H7,Bcl10,mouse,,,,,
ITCH,Q8C863,Itch,mouse,P63,,O88898,Tp63,mouse,,,,,
ITCH,Q8C863,Itch,mouse,JUN,,P05627,Jun,mouse,,,,,
ITCH,Q8C863,Itch,mouse,CFLAR,,O35732,Cflar,mouse,,,,,
ITCH,Q8C863,Itch,mouse,SMAD2,,Q62432,Smad2,mouse,,,,,
ITCH,Q8C863,Itch,mouse,KLF10,,O89091,Klf10,mouse,,,,,
ITCH,Q8C863#Q9DBH0,Itch#Wwp2,mouse,PTN6,,P29351,Ptpn6,mouse,,,,,
KAT2B,Q9JHD1,Kat2b,mouse,MDM2,,P23804,Mdm2,mouse,,,,,
BACD1,Q8BGV7,Kctd13,mouse,RHOA,,Q9QUI0,Rhoa,mouse,,,,,
KEAP1,Q9Z2X8,Keap1,mouse,PGAM5,,Q8BX10,Pgam5,mouse,,,,,
KEAP1,Q9Z2X8,Keap1,mouse,NF2L2,,Q60795,Nfe2l2,mouse,,,,,
KLH17,Q6TDP3,Klhl17,mouse,GRIK2,,P39087,Grik2,mouse,,,,,
KLHL2,Q8JZP3,Klhl2,mouse,Q6TKP2,,Q6TKP2,Npcd,mouse,,,,,
KLH21,Q3U410,Klhl21,mouse,AURKB,,O70126,Aurkb,mouse,,,,,
KLHL3,E0CZ16,Klhl3,mouse,CLD8,,Q9Z260,Cldn8,mouse,,,,,
KLH31,Q8BWA5,Klhl31,mouse,FLNC,,Q8VHX6,Flnc,mouse,,,,,
KLH41,A2AUC9,Klhl41,mouse,NRAP,,Q80XB4,Nrap,mouse,,,,,
LNX1,O70263,Lnx1,mouse,NUMB,,Q9QZS3,Numb,mouse,,,,,
LNX1,O70263,Lnx1,mouse,CXD2,,O54851,Gjd2,mouse,,,,,
LRSM1,Q80ZI6,Lrsam1,mouse,TS101,,Q61187,Tsg101,mouse,,,,,
MALT1,Q2TBA3,Malt1,mouse,NEMO,,O88522,Ikbkg,mouse,,,,,
M3K1,P53349,Map3k1,mouse,MK03,,Q63844,Mapk3,mouse,,,,,
M3K1,P53349,Map3k1,mouse,MK01,,P63085,Mapk1,mouse,,,,,
M3K1,P53349,Map3k1,mouse,JUN,,P05627,Jun,mouse,,,,,
M3K1,P53349,Map3k1,mouse,DTX1,,Q61010,Dtx1,mouse,,,,,
