ENZYME,ENZY_ACC_ID,GENE,KIN_ORGANISM,SUBSTRATE,SUB_GENE_ID,SUB_ACC_ID,SUB_GENE,SUB_ORGANISM,SUB_MOD_RSD,SITE_GRP_ID,SITE_...7_AA,networkin_score,Source
UBP38,Q8BW70,Usp38,mouse,HDAC1,,O09106,Hdac1,mouse,,,,,
UBP20,Q8C6M1,Usp20,mouse,RIPK1,,Q60855,Ripk1,mouse,,,,,
OTUD3,B1AZ99,Otud3,mouse,ACTN4,,P57780,Actn4,mouse,,,,,
UBP19,Q3UJD6,Usp19,mouse,M3K7,,Q62073,Map3k7,mouse,,,,,
UBP12,Q9D9M2,Usp12,mouse,PPM1B,,P36993,Ppm1b,mouse,,,,,
UBP19,Q3UJD6,Usp19,mouse,TAB1,,Q8CF89,Tab1,mouse,,,,,
OTUB1,Q7TQI3,Otub1,mouse,MAF,,P54843,Maf,mouse,,,,,
UBP10,P52479,Usp10,mouse,NOTC1,,Q01705,Notch1,mouse,,,,,
OTUD4,B2RRE7,Otud4,mouse,MAVS,,Q8VCF0,Mavs,mouse,,,,,
CSN5,O35864,Cops5,mouse,HXK2,,O08528,Hk2,mouse,,,,,
UBP12,Q9D9M2,Usp12,mouse,BCL10,,Q9Z0H7,Bcl10,mouse,,,,,
TRI69,Q80X56,Trim69,mouse,M3K5,,O35099,Map3k5,mouse,,,,,
USP9X,P70398,Usp9x,mouse,MCL1,,P97287,Mcl1,mouse,,,,,
OTUD1,Q9CUB6,Otud1,mouse,CARD9,,A2AIV8,Card9,mouse,,,,,
UBP7,Q6A4J8,Usp7,mouse,YAP1,,P46938,Yap1,mouse,,,,,
