"ENZYME","ENZY_ACC_ID","GENE","KIN_ORGANISM","SUBSTRATE","SUB_GENE_ID","SUB_ACC_ID","SUB_GENE","SUB_ORGANISM","SUB_MOD_RSD","SITE_GRP_ID","SITE_...7_AA","networkin_score","Source"
"UBP13","Q5BKP2","Usp13","mouse","SMAD4",NA,"P97471","Smad4","mouse",NA,NA,NA,NA,NA
"UBP7","Q6A4J8","Usp7","mouse","P53",NA,"P02340","Tp53","mouse",NA,NA,NA,NA,NA
"ZC12A","Q5D1E7","Zc3h12a","mouse","HIF1A",NA,"Q61221","Hif1a","mouse",NA,NA,NA,NA,NA
"ATX3","Q9CVD2","Atxn3","mouse","Q3UM33",NA,"Q3UM33","Hdac3","mouse",NA,NA,NA,NA,NA
"OTUL","Q3UCV8","Otulin","mouse","OTUL",NA,"Q3UCV8","Otulin","mouse",NA,NA,NA,NA,NA
"UBP16","Q99LG0","Usp16","mouse","PP2BA",NA,"P63328","Ppp3ca","mouse",NA,NA,NA,NA,NA
"UBP47","Q8BY87","Usp47","mouse","SATB1",NA,"Q60611","Satb1","mouse",NA,NA,NA,NA,NA
"UBP14","Q9JMA1","Usp14","mouse","HIF1A",NA,"Q61221","Hif1a","mouse",NA,NA,NA,NA,NA
"UBP10","P52479","Usp10","mouse","SIR6",NA,"P59941","Sirt6","mouse",NA,NA,NA,NA,NA
"UBP4","P35123","Usp4","mouse","RHEB",NA,"Q921J2","Rheb","mouse",NA,NA,NA,NA,NA
"OTUB1","Q7TQI3","Otub1","mouse","BRE1A",NA,"Q5DTM8","Rnf20","mouse",NA,NA,NA,NA,NA
"BAP1","Q99PU7","Bap1","mouse","AKT1",NA,"P31750","Akt1","mouse",NA,NA,NA,NA,NA
"OTUD1","Q9CUB6","Otud1","mouse","IRF3",NA,"P70671","Irf3","mouse",NA,NA,NA,NA,NA
"UBP7","Q6A4J8","Usp7","mouse","MDM2",NA,"P23804","Mdm2","mouse",NA,NA,NA,NA,NA
"UBP38","Q8BW70","Usp38","mouse","HDAC1",NA,"O09106","Hdac1","mouse",NA,NA,NA,NA,NA
"UBP20","Q8C6M1","Usp20","mouse","RIPK1",NA,"Q60855","Ripk1","mouse",NA,NA,NA,NA,NA
"OTUD3","B1AZ99","Otud3","mouse","ACTN4",NA,"P57780","Actn4","mouse",NA,NA,NA,NA,NA
"UBP19","Q3UJD6","Usp19","mouse","M3K7",NA,"Q62073","Map3k7","mouse",NA,NA,NA,NA,NA
"UBP12","Q9D9M2","Usp12","mouse","PPM1B",NA,"P36993","Ppm1b","mouse",NA,NA,NA,NA,NA
"UBP19","Q3UJD6","Usp19","mouse","TAB1",NA,"Q8CF89","Tab1","mouse",NA,NA,NA,NA,NA
"OTUB1","Q7TQI3","Otub1","mouse","MAF",NA,"P54843","Maf","mouse",NA,NA,NA,NA,NA
"UBP10","P52479","Usp10","mouse","NOTC1",NA,"Q01705","Notch1","mouse",NA,NA,NA,NA,NA
"OTUD4","B2RRE7","Otud4","mouse","MAVS",NA,"Q8VCF0","Mavs","mouse",NA,NA,NA,NA,NA
"CSN5","O35864","Cops5","mouse","HXK2",NA,"O08528","Hk2","mouse",NA,NA,NA,NA,NA
"UBP12","Q9D9M2","Usp12","mouse","BCL10",NA,"Q9Z0H7","Bcl10","mouse",NA,NA,NA,NA,NA
"TRI69","Q80X56","Trim69","mouse","M3K5",NA,"O35099","Map3k5","mouse",NA,NA,NA,NA,NA
"USP9X","P70398","Usp9x","mouse","MCL1",NA,"P97287","Mcl1","mouse",NA,NA,NA,NA,NA
"OTUD1","Q9CUB6","Otud1","mouse","CARD9",NA,"A2AIV8","Card9","mouse",NA,NA,NA,NA,NA
"UBP7","Q6A4J8","Usp7","mouse","YAP1",NA,"P46938","Yap1","mouse",NA,NA,NA,NA,NA
